batch_id,drug_name,region,facility_type,manufacture_date,expiry_date,shelf_life_months,arrival_date,days_to_expiry_on_arrival,initial_quantity,avg_daily_consumption,demand_forecast_30d,season_on_arrival,disease_season_flag,quantity_remaining_30d_before_expiry,quantity_wasted,expired_unused,redistribution_done,redistribution_region
BATCH_TN_2024_0001,Paracetamol,Salem,Private Hospital,2024-04-18,2027-04-03,36,2024-06-19,1018,3251,1.36,40,Southwest Monsoon,0,1825,126,0,1,Thoothukudi
BATCH_TN_2024_0002,Insulin,Vellore,Primary Health Centre,2024-10-01,2025-09-26,12,2024-12-25,275,544,1.12,33,Northeast Monsoon,0,280,33,0,1,Coimbatore
BATCH_TN_2023_0003,Artemether,Madurai,Government Hospital,2023-06-14,2025-06-03,24,2023-09-02,640,7836,8.08,242,Southwest Monsoon,1,2914,1001,0,0,
BATCH_TN_2024_0004,Salbutamol,Thoothukudi,Primary Health Centre,2024-08-11,2026-08-01,24,2024-09-18,682,485,0.64,19,Southwest Monsoon,0,125,32,0,0,
BATCH_TN_2023_0005,Metformin,Chennai,Private Hospital,2023-10-31,2026-10-15,36,2023-12-20,1030,815,0.5,15,Northeast Monsoon,0,312,2,0,1,Coimbatore
BATCH_TN_2023_0006,Salbutamol,Erode,Primary Health Centre,2023-12-05,2025-11-24,24,2024-02-25,638,780,1.45,43,Winter,1,0,0,0,0,
BATCH_TN_2023_0007,Metformin,Madurai,Government Hospital,2023-11-24,2026-11-08,36,2023-12-15,1059,5844,3.2,95,Northeast Monsoon,0,2781,897,0,0,
BATCH_TN_2024_0008,Ondansetron,Kanchipuram,Government Hospital,2024-07-19,2026-07-09,24,2024-08-17,691,3433,3.22,96,Southwest Monsoon,0,1310,360,0,0,
BATCH_TN_2024_0009,Amlodipine,Vellore,Government Hospital,2024-04-29,2027-04-14,36,2024-07-06,1012,5930,2.25,67,Southwest Monsoon,0,3537,443,0,1,Coimbatore
BATCH_TN_2023_0010,Chloroquine,Madurai,Primary Health Centre,2023-04-22,2028-03-26,60,2023-07-14,1717,534,0.5,15,Southwest Monsoon,1,0,0,0,0,
BATCH_TN_2023_0011,Paracetamol,Madurai,Government Hospital,2023-04-19,2026-04-03,36,2023-05-19,1050,2032,1.4,42,Pre-monsoon,0,503,129,0,0,
BATCH_TN_2023_0012,Amlodipine,Coimbatore,Pharmacy,2023-09-23,2026-09-07,36,2023-12-05,1007,1927,1.98,59,Northeast Monsoon,0,82,10,0,0,
BATCH_TN_2023_0013,Artemether,Coimbatore,Government Hospital,2023-04-06,2025-03-26,24,2023-05-17,679,7942,4.57,137,Pre-monsoon,0,4588,2190,0,0,
BATCH_TN_2023_0014,Ondansetron,Kanchipuram,Pharmacy,2023-09-24,2025-09-13,24,2023-12-23,630,1037,0.97,29,Northeast Monsoon,0,384,2,0,1,Tirunelveli
BATCH_TN_2024_0015,Insulin,Madurai,Private Hospital,2024-12-24,2025-12-19,12,2025-01-14,339,3242,2.92,87,Winter,0,2412,63,0,1,Vellore
BATCH_TN_2023_0016,Ibuprofen,Vellore,Pharmacy,2023-08-19,2026-08-03,36,2023-09-10,1058,1138,1.08,32,Southwest Monsoon,0,32,5,0,0,
BATCH_TN_2024_0017,Amoxicillin,Chennai,Government Hospital,2024-07-12,2026-07-02,24,2024-09-30,640,5125,11.02,330,Southwest Monsoon,0,0,0,0,0,
BATCH_TN_2023_0018,Amoxicillin,Kanchipuram,Primary Health Centre,2023-09-27,2025-09-16,24,2023-11-09,677,233,0.5,15,Northeast Monsoon,0,0,0,0,0,
BATCH_TN_2023_0019,Artemether,Madurai,Private Hospital,2023-01-07,2024-12-27,24,2023-02-04,692,3364,6.55,196,Winter,0,0,0,0,0,
BATCH_TN_2023_0020,Salbutamol,Kanchipuram,Pharmacy,2023-07-25,2025-07-14,24,2023-09-26,657,1070,1.69,50,Southwest Monsoon,0,135,20,0,0,
BATCH_TN_2023_0021,Metformin,Vellore,Government Hospital,2023-12-03,2026-11-17,36,2024-01-27,1025,3139,3.04,91,Winter,0,83,8,0,0,
BATCH_TN_2024_0022,Insulin,Kanchipuram,Private Hospital,2024-12-10,2025-12-05,12,2025-01-25,314,1317,2.21,66,Winter,0,739,68,0,1,Erode
BATCH_TN_2024_0023,Omeprazole,Coimbatore,Pharmacy,2024-12-21,2026-12-11,24,2025-02-17,662,491,0.55,16,Winter,0,161,9,0,1,Salem
BATCH_TN_2024_0024,Ondansetron,Madurai,Primary Health Centre,2024-08-06,2026-07-27,24,2024-10-16,649,406,0.5,15,Northeast Monsoon,0,76,15,0,0,
BATCH_TN_2024_0025,Omeprazole,Thoothukudi,Pharmacy,2024-07-16,2026-07-06,24,2024-09-23,651,1682,2.84,85,Southwest Monsoon,0,0,0,0,0,
BATCH_TN_2024_0026,Salbutamol,Coimbatore,Private Hospital,2024-09-20,2026-09-10,24,2024-10-24,686,2983,4.68,140,Northeast Monsoon,0,0,0,0,0,
BATCH_TN_2024_0027,Ondansetron,Coimbatore,Government Hospital,2024-10-30,2026-10-20,24,2024-12-13,676,2539,3.65,109,Northeast Monsoon,0,0,0,0,0,
BATCH_TN_2023_0028,Salbutamol,Thoothukudi,Government Hospital,2023-09-20,2025-09-09,24,2023-10-26,684,4981,3.78,113,Northeast Monsoon,0,2140,932,0,0,
BATCH_TN_2024_0029,Amoxicillin,Tirunelveli,Pharmacy,2024-03-29,2026-03-19,24,2024-05-17,671,1221,2.14,64,Pre-monsoon,0,0,0,0,0,
BATCH_TN_2024_0030,Amlodipine,Tirunelveli,Primary Health Centre,2024-01-09,2026-12-24,36,2024-02-05,1053,496,0.5,15,Winter,0,0,0,0,0,
BATCH_TN_2023_0031,Ciprofloxacin,Tirunelveli,Primary Health Centre,2023-08-04,2025-07-24,24,2023-09-18,675,574,0.5,15,Southwest Monsoon,0,283,6,0,1,Erode
BATCH_TN_2023_0032,Salbutamol,Salem,Government Hospital,2023-07-05,2025-06-24,24,2023-08-27,667,2071,1.76,52,Southwest Monsoon,0,851,60,0,1,Madurai
BATCH_TN_2023_0033,Ondansetron,Kanchipuram,Private Hospital,2023-09-25,2025-09-14,24,2023-12-12,642,2091,3.08,92,Northeast Monsoon,0,0,0,0,0,
BATCH_TN_2024_0034,Metformin,Salem,Government Hospital,2024-06-11,2027-05-27,36,2024-08-11,1019,2095,2.25,67,Southwest Monsoon,0,139,11,0,0,
BATCH_TN_2023_0035,Artemether,Salem,Primary Health Centre,2023-04-08,2025-03-28,24,2023-05-12,686,684,1.06,31,Pre-monsoon,0,0,0,0,0,
