record_id,drug_name,region,lat,lng,facility_type,facility_id,year,month,season,disease_season_flag,quantity_dispensed,stock_opening,stock_closing,reorder_triggered,price_per_unit_inr,total_value_inr,past_30d_usage,past_90d_usage
6cee84cb-7616-410b-a2e3-6bbe67478b97,Paracetamol,Chennai,13.0827,80.2707,Government Hospital,FAC_001,2023,1,Winter,1,7959,17632,18813,0,2,15918,0,0
cb23630e-4293-4b87-8063-0c7da16b7e61,Paracetamol,Chennai,13.0827,80.2707,Government Hospital,FAC_001,2023,2,Winter,1,7254,14130,11598,0,2,14508,7959,7959
35e2f71c-cb1a-49c8-9ef9-65a20cf8e5ff,Paracetamol,Chennai,13.0827,80.2707,Government Hospital,FAC_001,2023,3,Pre-monsoon,0,4515,12811,13046,0,2,9030,7254,15213
5ba8b2eb-43b5-4a5e-8bd8-5e921d0d2ba8,Paracetamol,Chennai,13.0827,80.2707,Government Hospital,FAC_001,2023,4,Pre-monsoon,0,5056,11665,11468,0,2,10112,4515,19728
8d541f5d-8e23-43cd-8b6a-67ef01a522eb,Paracetamol,Chennai,13.0827,80.2707,Government Hospital,FAC_001,2023,5,Pre-monsoon,0,3971,10720,11148,0,2,7942,5056,16825
10649a90-78da-419c-9dcc-70ae27021590,Paracetamol,Chennai,13.0827,80.2707,Government Hospital,FAC_001,2023,6,Southwest Monsoon,0,3971,8864,7059,0,2,7942,3971,13542
2937a852-be0c-4206-8fba-0dd50f131758,Paracetamol,Chennai,13.0827,80.2707,Government Hospital,FAC_001,2023,7,Southwest Monsoon,0,5091,11345,9563,0,2,10182,3971,12998
3a5e262a-f552-40fb-b020-4c34ab5e575d,Paracetamol,Chennai,13.0827,80.2707,Government Hospital,FAC_001,2023,8,Southwest Monsoon,0,4589,11487,11571,0,2,9178,5091,13033
0900c275-4aee-4d11-89d9-05175de45be6,Paracetamol,Chennai,13.0827,80.2707,Government Hospital,FAC_001,2023,9,Southwest Monsoon,0,3826,9895,10110,0,2,7652,4589,13651
fd26a263-c3ae-4d56-a5ed-fb5dc896f4b2,Paracetamol,Chennai,13.0827,80.2707,Government Hospital,FAC_001,2023,10,Northeast Monsoon,1,8010,23063,24526,0,2,16020,3826,13506
14879513-5858-40d8-823b-cbe1ebb497c5,Paracetamol,Chennai,13.0827,80.2707,Government Hospital,FAC_001,2023,11,Northeast Monsoon,1,6893,15862,16663,0,2,13786,8010,16425
1bfe5d40-0c2b-42e2-bc41-e1a16324438a,Paracetamol,Chennai,13.0827,80.2707,Government Hospital,FAC_001,2023,12,Northeast Monsoon,1,6890,16452,15740,0,2,13780,6893,18729
0a89e009-cd6e-4d00-bd12-bb2f51d9a0df,Paracetamol,Chennai,13.0827,80.2707,Government Hospital,FAC_001,2024,1,Winter,1,7676,12480,10067,0,2,15352,6890,21793
5286a1ad-45f2-445b-b39e-e46afc4bd70c,Paracetamol,Chennai,13.0827,80.2707,Government Hospital,FAC_001,2024,2,Winter,1,5281,14788,11955,0,2,10562,7676,21459
c234a5fd-4eca-479d-b1d9-81bfbefcc930,Paracetamol,Chennai,13.0827,80.2707,Government Hospital,FAC_001,2024,3,Pre-monsoon,0,3051,5767,4530,0,2,6102,5281,19847
f516aa37-e137-4c9e-b825-239a7dd686df,Paracetamol,Chennai,13.0827,80.2707,Government Hospital,FAC_001,2024,4,Pre-monsoon,0,3768,8221,6727,0,2,7536,3051,16008
9018d3c0-01f8-452b-ae78-a5b2305585b5,Paracetamol,Chennai,13.0827,80.2707,Government Hospital,FAC_001,2024,5,Pre-monsoon,0,3490,9839,8270,0,2,6980,3768,12100
7b117104-b08a-4daf-98e1-0d9637e6522e,Paracetamol,Chennai,13.0827,80.2707,Government Hospital,FAC_001,2024,6,Southwest Monsoon,0,4310,12614,11232,0,2,8620,3490,10309
9a5cdc0c-3c70-400e-b6fe-2487c3821cf5,Paracetamol,Chennai,13.0827,80.2707,Government Hospital,FAC_001,2024,7,Southwest Monsoon,0,3555,9784,8800,0,2,7110,4310,11568
cf11ecaf-9eca-4099-bdc8-39ccf87fd693,Paracetamol,Chennai,13.0827,80.2707,Government Hospital,FAC_001,2024,8,Southwest Monsoon,0,3244,8510,6391,0,2,6488,3555,11355
e73b3bed-6c7b-4d8b-b263-079068412703,Paracetamol,Chennai,13.0827,80.2707,Government Hospital,FAC_001,2024,9,Southwest Monsoon,0,5020,14697,12196,0,2,10040,3244,11109
1f0c131d-2b28-44a2-80b1-f92880fc8988,Paracetamol,Chennai,13.0827,80.2707,Government Hospital,FAC_001,2024,10,Northeast Monsoon,1,7157,11472,12628,0,2,14314,5020,11819
19ec4ea9-ecc9-4dec-ba83-11f81f7ed30b,Paracetamol,Chennai,13.0827,80.2707,Government Hospital,FAC_001,2024,11,Northeast Monsoon,1,7483,11676,6646,0,2,14966,7157,15421
2bda63a5-174f-40a0-af1c-ff1a23ef55f6,Paracetamol,Chennai,13.0827,80.2707,Government Hospital,FAC_001,2024,12,Northeast Monsoon,1,5824,10896,11218,0,2,11648,7483,19660
1a967be7-6d68-4871-80f7-5d2afb3665fb,Paracetamol,Chennai,13.0827,80.2707,Private Hospital,FAC_002,2023,1,Winter,1,5031,8696,5745,0,2,10062,0,0
792e591f-08ed-4f43-a7ea-6ff6b19fb652,Paracetamol,Chennai,13.0827,80.2707,Private Hospital,FAC_002,2023,2,Winter,1,5570,13948,12876,0,2,11140,5031,5031
3200affa-0d07-41dc-b115-9d2a9496d9d8,Paracetamol,Chennai,13.0827,80.2707,Private Hospital,FAC_002,2023,3,Pre-monsoon,0,2518,4600,4422,0,2,5036,5570,10601
