region,lat,lng,drug_name,facility_type,month,year,season,disease_season_flag,population_est,facility_count,disease_prevalence_index,total_quantity_demanded,total_quantity_supplied,supply_gap,demand_per_capita,demand_score
Chennai,13.0827,80.2707,Paracetamol,Government Hospital,1,2023,Winter,1,7100000,420,0.1342,7959,7425,0.0671,0.001121,0.3312
Chennai,13.0827,80.2707,Paracetamol,Government Hospital,2,2023,Winter,1,7100000,420,0.096,7254,6255,0.1377,0.001022,0.3015
Chennai,13.0827,80.2707,Paracetamol,Government Hospital,3,2023,Pre-monsoon,0,7100000,420,0.1433,4515,3928,0.13,0.000636,0.1865
Chennai,13.0827,80.2707,Paracetamol,Government Hospital,4,2023,Pre-monsoon,0,7100000,420,0.2375,5056,4328,0.144,0.000712,0.2092
Chennai,13.0827,80.2707,Paracetamol,Government Hospital,5,2023,Pre-monsoon,0,7100000,420,0.2711,3971,3912,0.0149,0.000559,0.1636
Chennai,13.0827,80.2707,Paracetamol,Government Hospital,6,2023,Southwest Monsoon,0,7100000,420,0.2652,3971,3947,0.006,0.000559,0.1636
Chennai,13.0827,80.2707,Paracetamol,Government Hospital,7,2023,Southwest Monsoon,0,7100000,420,0.2601,5091,4680,0.0807,0.000717,0.2107
Chennai,13.0827,80.2707,Paracetamol,Government Hospital,9,2023,Southwest Monsoon,0,7100000,420,0.2825,3826,3415,0.1074,0.000539,0.1575
Chennai,13.0827,80.2707,Paracetamol,Government Hospital,11,2023,Northeast Monsoon,1,7100000,420,0.4956,6893,5964,0.1348,0.000971,0.2864
Chennai,13.0827,80.2707,Paracetamol,Government Hospital,12,2023,Northeast Monsoon,1,7100000,420,0.5632,6890,6309,0.0843,0.00097,0.2862
Chennai,13.0827,80.2707,Paracetamol,Government Hospital,1,2024,Winter,1,7100000,420,0.5585,7676,7386,0.0378,0.001081,0.3193
Chennai,13.0827,80.2707,Paracetamol,Government Hospital,2,2024,Winter,1,7100000,420,0.4374,5281,5216,0.0123,0.000744,0.2186
Chennai,13.0827,80.2707,Paracetamol,Government Hospital,3,2024,Pre-monsoon,0,7100000,420,0.3229,3051,2624,0.14,0.00043,0.125
Chennai,13.0827,80.2707,Paracetamol,Government Hospital,5,2024,Pre-monsoon,0,7100000,420,0.0551,3490,3338,0.0436,0.000492,0.1434
Chennai,13.0827,80.2707,Paracetamol,Government Hospital,6,2024,Southwest Monsoon,0,7100000,420,0.1381,4310,4120,0.0441,0.000607,0.1778
Chennai,13.0827,80.2707,Paracetamol,Government Hospital,7,2024,Southwest Monsoon,0,7100000,420,0.093,3555,3526,0.0082,0.000501,0.1461
Chennai,13.0827,80.2707,Paracetamol,Government Hospital,8,2024,Southwest Monsoon,0,7100000,420,0.1653,3244,2805,0.1353,0.000457,0.1331
Chennai,13.0827,80.2707,Paracetamol,Government Hospital,10,2024,Northeast Monsoon,1,7100000,420,0.5537,7157,6118,0.1452,0.001008,0.2975
Chennai,13.0827,80.2707,Paracetamol,Government Hospital,11,2024,Northeast Monsoon,1,7100000,420,0.2458,7483,7022,0.0616,0.001054,0.3112
Chennai,13.0827,80.2707,Paracetamol,Government Hospital,12,2024,Northeast Monsoon,1,7100000,420,0.426,5824,5131,0.119,0.00082,0.2415
Chennai,13.0827,80.2707,Paracetamol,Private Hospital,1,2023,Winter,1,7100000,420,0.1455,5031,5084,0.0,0.000709,0.2081
Chennai,13.0827,80.2707,Paracetamol,Private Hospital,2,2023,Winter,1,7100000,420,0.2856,5570,5279,0.0522,0.000785,0.2308
Chennai,13.0827,80.2707,Paracetamol,Private Hospital,3,2023,Pre-monsoon,0,7100000,420,0.1488,2518,2328,0.0755,0.000355,0.1026
